Length min	170.0	boldANML_100
Length 1%	170.0	boldANML_100
Length 25%	178.0	boldANML_100
Length median	178.0	boldANML_100
Length 75%	181.0	boldANML_100
Length 99%	181.0	boldANML_100
Length max	207.0	boldANML_100
N uniques	69924.0	boldANML_100
Sequence Entropy	11.16	boldANML_100
8mer Entropy	8.09	boldANML_100
16mer Entropy	10.64	boldANML_100
24mer Entropy	12.31	boldANML_100
32mer Entropy	13.11	boldANML_100
Length min	170.0	boldANML_97
Length 1%	171.0	boldANML_97
Length 25%	178.0	boldANML_97
Length median	180.0	boldANML_97
Length 75%	181.0	boldANML_97
Length 99%	183.0	boldANML_97
Length max	207.0	boldANML_97
N uniques	24561.0	boldANML_97
Sequence Entropy	10.11	boldANML_97
8mer Entropy	8.21	boldANML_97
16mer Entropy	10.83	boldANML_97
24mer Entropy	12.52	boldANML_97
32mer Entropy	13.28	boldANML_97
Length min	170.0	boldANML_98
Length 1%	171.0	boldANML_98
Length 25%	178.0	boldANML_98
Length median	180.0	boldANML_98
Length 75%	181.0	boldANML_98
Length 99%	182.0	boldANML_98
Length max	207.0	boldANML_98
N uniques	29214.0	boldANML_98
Sequence Entropy	10.28	boldANML_98
8mer Entropy	8.19	boldANML_98
16mer Entropy	10.8	boldANML_98
24mer Entropy	12.48	boldANML_98
32mer Entropy	13.26	boldANML_98
Length min	170.0	boldANML_99
Length 1%	171.0	boldANML_99
Length 25%	178.0	boldANML_99
Length median	178.0	boldANML_99
Length 75%	181.0	boldANML_99
Length 99%	181.0	boldANML_99
Length max	207.0	boldANML_99
N uniques	40312.0	boldANML_99
Sequence Entropy	10.6	boldANML_99
8mer Entropy	8.16	boldANML_99
16mer Entropy	10.75	boldANML_99
24mer Entropy	12.43	boldANML_99
32mer Entropy	13.22	boldANML_99
Length min	250.0	boldDerep1_100
Length 1%	391.0	boldDerep1_100
Length 25%	627.0	boldDerep1_100
Length median	652.0	boldDerep1_100
Length 75%	657.0	boldDerep1_100
Length 99%	1551.0	boldDerep1_100
Length max	1600.0	boldDerep1_100
N uniques	169122.0	boldDerep1_100
Sequence Entropy	12.04	boldDerep1_100
8mer Entropy	9.38	boldDerep1_100
16mer Entropy	12.18	boldDerep1_100
24mer Entropy	13.31	boldDerep1_100
32mer Entropy	13.62	boldDerep1_100
Length min	250.0	boldDerep1_97
Length 1%	400.21	boldDerep1_97
Length 25%	633.0	boldDerep1_97
Length median	652.0	boldDerep1_97
Length 75%	673.0	boldDerep1_97
Length 99%	1560.0	boldDerep1_97
Length max	1599.0	boldDerep1_97
N uniques	32722.0	boldDerep1_97
Sequence Entropy	10.4	boldDerep1_97
8mer Entropy	9.53	boldDerep1_97
16mer Entropy	12.42	boldDerep1_97
24mer Entropy	13.48	boldDerep1_97
32mer Entropy	13.75	boldDerep1_97
Length min	250.0	boldDerep1_98
Length 1%	377.82	boldDerep1_98
Length 25%	632.0	boldDerep1_98
Length median	652.0	boldDerep1_98
Length 75%	671.0	boldDerep1_98
Length 99%	1557.0	boldDerep1_98
Length max	1599.0	boldDerep1_98
N uniques	37283.0	boldDerep1_98
Sequence Entropy	10.53	boldDerep1_98
8mer Entropy	9.52	boldDerep1_98
16mer Entropy	12.41	boldDerep1_98
24mer Entropy	13.47	boldDerep1_98
32mer Entropy	13.74	boldDerep1_98
Length min	250.0	boldDerep1_99
Length 1%	339.0	boldDerep1_99
Length 25%	630.0	boldDerep1_99
Length median	652.0	boldDerep1_99
Length 75%	665.0	boldDerep1_99
Length 99%	1557.0	boldDerep1_99
Length max	1599.0	boldDerep1_99
N uniques	47762.0	boldDerep1_99
Sequence Entropy	10.77	boldDerep1_99
8mer Entropy	9.49	boldDerep1_99
16mer Entropy	12.38	boldDerep1_99
24mer Entropy	13.46	boldDerep1_99
32mer Entropy	13.73	boldDerep1_99
